instance,integrator,budget_s,seed,best_length,hk_bound,gap_pct,wall_time_s,machine_info,deviations,n_nodes,normalized_time
1,lkh,30.0,3,82837,82830,0.008451044307618014,0.05358557399995334,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,4,82837,82830,0.008451044307618014,0.04404088600040268,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,5,82837,82830,0.008451044307618014,0.04905267200047092,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,6,82837,82830,0.008451044307618014,0.06193066400010139,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,7,82837,82830,0.008451044307618014,0.05485830699944927,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,8,82837,82830,0.008451044307618014,0.04847379200055002,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,9,82837,82830,0.008451044307618014,0.0493550849996609,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,10,82837,82830,0.008451044307618014,0.04320143699987966,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,11,82837,82830,0.008451044307618014,0.04578423999919323,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,12,82837,82830,0.008451044307618014,0.043614414000330726,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,13,82837,82830,0.008451044307618014,0.044505129000754096,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,14,82837,82830,0.008451044307618014,0.04541967000022851,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,15,82837,82830,0.008451044307618014,0.042069332000210125,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,16,82837,82830,0.008451044307618014,0.051447840000037104,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,17,82837,82830,0.008451044307618014,0.04965612100022554,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,18,82837,82830,0.008451044307618014,0.045406009000544145,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,19,82837,82830,0.008451044307618014,0.04623464399992372,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,20,82837,82830,0.008451044307618014,0.04877304900037416,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,21,82837,82830,0.008451044307618014,0.06452390200047375,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,22,82837,82830,0.008451044307618014,0.04597869000008359,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,23,82837,82830,0.008451044307618014,0.04073502999926859,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,24,82837,82830,0.008451044307618014,0.04471506200025033,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,25,82837,82830,0.008451044307618014,0.05063670700019429,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,26,82837,82830,0.008451044307618014,0.04152011800033506,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,27,82837,82830,0.008451044307618014,0.0566451610002332,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,28,82837,82830,0.008451044307618014,0.05057952300012403,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,29,82837,82830,0.008451044307618014,0.041531504999511526,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,30.0,30,82837,82830,0.008451044307618014,0.03851386199949047,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,1,82837,82830,0.008451044307618014,0.04438125799970294,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
