instance,integrator,budget_s,seed,best_length,hk_bound,gap_pct,wall_time_s
1,EdgeRand,1.0,11,555617,82830,570.7919835808282,0.000351
1,EdgeRand,1.0,12,509730,82830,515.3929735603042,0.000452
1,EdgeRand,1.0,13,503977,82830,508.4474224314862,0.000419
1,EdgeRand,1.0,14,555354,82830,570.4744657732706,0.000475
1,EdgeRand,1.0,15,543607,82830,556.2924061330435,0.000417
1,EdgeRand,1.0,16,559779,82830,575.8167330677292,0.000491
1,EdgeRand,1.0,17,564811,82830,581.8918266328625,0.000467
1,EdgeRand,1.0,18,569407,82830,587.4405408668357,0.000426
1,EdgeRand,1.0,19,565859,82830,583.1570686949174,0.000395
1,EdgeRand,1.0,20,540727,82830,552.8154050464807,0.000464
1,EdgeRand,1.0,21,599191,82830,623.3985271037063,0.000424
1,EdgeRand,1.0,22,564030,82830,580.9489315465411,0.000534
1,EdgeRand,1.0,23,542905,82830,555.4448871181938,0.000509
1,EdgeRand,1.0,24,556908,82830,572.3505976095618,0.000516
1,EdgeRand,1.0,25,538946,82830,550.6652179162139,0.000473
1,EdgeRand,1.0,26,556179,82830,571.4704817095255,0.000470
1,EdgeRand,1.0,27,540420,82830,552.4447663889896,0.000478
1,EdgeRand,1.0,28,547920,82830,561.4994567185803,0.000432
1,EdgeRand,1.0,29,606258,82830,631.9304599782687,0.000435
1,EdgeRand,1.0,30,541278,82830,553.4806229626946,0.000431
1,EdgeRand,30.0,1,563874,82830,580.7605939876856,0.002072
1,EdgeRand,30.0,2,527434,82830,536.7668719063141,0.000429
1,EdgeRand,30.0,3,552945,82830,567.566099239406,0.000503
1,EdgeRand,30.0,4,513807,82830,520.3151032234698,0.000449
1,EdgeRand,30.0,5,534793,82830,545.6513340577086,0.001413
1,EdgeRand,30.0,6,543344,82830,555.974888325486,0.000451
1,EdgeRand,30.0,7,519092,82830,526.6956416757213,0.000560
1,EdgeRand,30.0,8,534350,82830,545.1165036822407,0.000599
1,EdgeRand,30.0,9,560645,82830,576.8622479777858,0.000524
1,EdgeRand,30.0,10,522867,82830,531.2531691416153,0.000573
1,EdgeRand,30.0,11,555617,82830,570.7919835808282,0.000900
1,EdgeRand,30.0,12,509730,82830,515.3929735603042,0.000448
1,EdgeRand,30.0,13,503977,82830,508.4474224314862,0.000806
1,EdgeRand,30.0,14,555354,82830,570.4744657732706,0.000621
1,EdgeRand,30.0,15,543607,82830,556.2924061330435,0.000439
1,EdgeRand,30.0,16,559779,82830,575.8167330677292,0.000741
1,EdgeRand,30.0,17,564811,82830,581.8918266328625,0.000569
1,EdgeRand,30.0,18,569407,82830,587.4405408668357,0.000441
1,EdgeRand,30.0,19,565859,82830,583.1570686949174,0.001234
1,EdgeRand,30.0,20,540727,82830,552.8154050464807,0.000443
1,EdgeRand,30.0,21,599191,82830,623.3985271037063,0.000693
1,EdgeRand,30.0,22,564030,82830,580.9489315465411,0.000502
