instance,integrator,budget_s,seed,best_length,hk_bound,gap_pct,wall_time_s,machine_info,deviations,n_nodes,normalized_time
eil51,lkh,30.0,1,426,426,0.0,0.020377078995807096,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010161960520827885
eil51,lkh,30.0,2,426,426,0.0,0.02207398699829355,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00011008201148951888
eil51,lkh,30.0,3,426,426,0.0,0.020643103001930285,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010294625533726574
eil51,lkh,30.0,4,426,426,0.0,0.019084863997704815,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.517538530912694e-05
eil51,lkh,30.0,5,426,426,0.0,0.019796936998318415,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.872646234115483e-05
eil51,lkh,30.0,6,426,426,0.0,0.020550114000798203,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010248252323976055
eil51,lkh,30.0,7,426,426,0.0,0.01911431999906199,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.532228110462082e-05
eil51,lkh,30.0,8,426,426,0.0,0.021389756999269594,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010666978629341584
eil51,lkh,30.0,9,426,426,0.0,0.022661741000774782,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00011301311509391766
eil51,lkh,30.0,10,426,426,0.0,0.022690818004775792,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00011315812084610767
